Title,Link,Model,Price,Agency,KMs_Rum,Location
2009 Hyundai Santa Fe GL,https://www.carpages.ca/used-cars/ontario/guelph/2009-hyundai-santa-fe-8814854/,GL,"$7,495",Murrays Garage,"168,166KM","Guelph, ON"
2012 GMC Acadia SLT AWD,https://www.carpages.ca/used-cars/british-columbia/port-moody/2012-gmc-acadia-8810525/,SLT AWD,"$7,498",OpenRoad Mazda Port Moody,"217,169KM","Port Moody, BC"
2009 Nissan Murano AWD 4DR S,https://www.carpages.ca/used-cars/ontario/windsor/2009-nissan-murano-8805113/,AWD 4DR S,"$7,499",Auto Nation Car Sales,"157,000KM","Windsor, ON"
2008 Honda CR-V LX,https://www.carpages.ca/used-cars/ontario/brampton/2008-honda-cr-v-8801948/,LX,"$7,499",WMZ Auto Sales,"253,800KM","Brampton, ON"
2009 Hyundai Santa Fe GL,https://www.carpages.ca/used-cars/ontario/brampton/2009-hyundai-santa-fe-8802107/,GL,"$7,499",WMZ Auto Sales,"181,047KM","Brampton, ON"
"2013 Kia Soul 2u, AUTOMATIC, AIR CONDITION, POWER GROUP, 230 KM",https://www.carpages.ca/used-cars/ontario/ottawa/2013-kia-soul-8531081/,"2u, AUTOMATIC, AIR CONDITION, POWER GROUP, 230 KM","$7,500",Rony's Auto Sales,"230,565KM","Ottawa, ON"
2008 Nissan Pathfinder 4WD 4dr V6 S,https://www.carpages.ca/used-cars/ontario/etobicoke/2008-nissan-pathfinder-8768621/,4WD 4dr V6 S,"$7,500",1st Auto Group,"151,200KM","Etobicoke, ON"
2008 Honda CR-V 4WD 5dr EX-L /AWD / LEATHER / ROOF /FUEL EFFICIENT,https://www.carpages.ca/used-cars/ontario/scarborough/2008-honda-cr-v-8801699/,4WD 5dr EX-L /AWD / LEATHER / ROOF /FUEL EFFICIENT,"$7,500",Executive Motors,"230,000KM","Scarborough, ON"
2008 Ford Escape 4WD 4dr V6*LEATHER*SUNROOF*HEATED SEATS*CERTIFIED,https://www.carpages.ca/used-cars/ontario/mississauga/2008-ford-escape-8774276/,4WD 4dr V6*LEATHER*SUNROOF*HEATED SEATS*CERTIFIED,"$7,550",Capital Motors,"166,100KM","Mississauga, ON"
2010 Dodge Journey SE,https://www.carpages.ca/used-cars/ontario/kitchener/2010-dodge-journey-8744816/,SE,"$7,600",Beta Auto Sales,"154,000KM","Kitchener, ON"
2010 Chevrolet Equinox FWD 4dr LT w/1LT,https://www.carpages.ca/used-cars/ontario/windsor/2010-chevrolet-equinox-8679668/,FWD 4dr LT w/1LT,"$7,699",Auto Nation Car Sales,"185,000KM","Windsor, ON"
2013 Ford Escape 4WD 4dr SE,https://www.carpages.ca/used-cars/alberta/edmonton/2013-ford-escape-7060772/,4WD 4dr SE,"$7,700",Green Line Auto Clearance,"271,000KM","Edmonton, AB"
2010 Ford Flex AWD*SUNROOF*LEATHER*HEATED SEATS*PICTURES COMING!!,https://www.carpages.ca/used-cars/ontario/toronto/2010-ford-flex-8767787/,AWD*SUNROOF*LEATHER*HEATED SEATS*PICTURES COMING!!,"$7,700",Weston Motors Inc.,"299,000KM","Toronto, ON"
2008 Ford Edge 4dr Limited AWD,https://www.carpages.ca/used-cars/alberta/edmonton/2008-ford-edge-6269928/,4dr Limited AWD,"$7,700",Green Line Auto Clearance,"217,000KM","Edmonton, AB"
"2012 Dodge Journey SOLD AS TRADED, YOU CERTIFY, YOU SAVE!!",https://www.carpages.ca/used-cars/ontario/innisfil/2012-dodge-journey-8650234/,"SOLD AS TRADED, YOU CERTIFY, YOU SAVE!!","$7,750",400 Chrysler Dodge Jeep Ram Ltd.,"183,163KM","Innisfil, ON"
2012 Jeep Compass Sport | Manual | 1OWN,https://www.carpages.ca/used-cars/ontario/burlington/2012-jeep-compass-8643182/,Sport | Manual | 1OWN,"$7,774",ZARQ,"165,807KM","Burlington, ON"
2013 Ford Escape SOLD AS IS *Shipper Special* WE APPROVE ALL C,https://www.carpages.ca/used-cars/ontario/mississauga/2013-ford-escape-8490650/,SOLD AS IS *Shipper Special* WE APPROVE ALL C,"$7,800",Redline Auto Sales,"275,000KM","Mississauga, ON"
2010 Dodge Journey SE,https://www.carpages.ca/used-cars/ontario/kitchener/2010-dodge-journey-8496712/,SE,"$7,800",Beta Auto Sales,"150,000KM","Kitchener, ON"
"2010 Jeep Compass Low KM, 4 Door, Auto, 3/Y Warranty Available",https://www.carpages.ca/used-cars/ontario/toronto/2010-jeep-compass-8605976/,"Low KM, 4 Door, Auto, 3/Y Warranty Available","$7,800",Auto Cross Inc.,"171,000KM","Toronto, ON"
2008 Mazda CX-9 GT,https://www.carpages.ca/used-cars/british-columbia/vancouver/2008-mazda-cx-9-8737160/,GT,"$7,800",ML Motors,"232,965KM","Vancouver, BC"
2009 Subaru Forester ALL WHEEL DRIVE,https://www.carpages.ca/used-cars/ontario/yarker/2009-subaru-forester-8001162/,ALL WHEEL DRIVE,"$7,850",Last Chance Auto Restore.com,"235,220KM","Yarker, ON"
"2009 Jeep Compass 4 Cyl, True North",https://www.carpages.ca/used-cars/ontario/peterborough/2009-jeep-compass-8480319/,"4 Cyl, True North","$7,850",Deals On Wheels,"195,000KM","Peterborough, ON"
2009 Kia Sportage LX 4WD,https://www.carpages.ca/used-cars/ontario/guelph/2009-kia-sportage-8814860/,LX 4WD,"$7,888",4x4 Auto Sales,"207,000KM","Guelph, ON"
2011 Ford Escape ,https://www.carpages.ca/used-cars/quebec/laval/2011-ford-escape-8714036/,NA,"$7,899",Autos BB,"156,000KM","Laval, QC"
2014 Ford Escape SE,https://www.carpages.ca/used-cars/alberta/calgary/2014-ford-escape-8682047/,SE,"$7,900",Regal Auctions Ltd.,"210,416KM","Calgary, AB"
2009 Ford Escape XLT 4WD,https://www.carpages.ca/used-cars/ontario/mississauga/2009-ford-escape-8800577/,XLT 4WD,"$7,900",Ontario Auto Group,"164,251KM","Mississauga, ON"
2012 Nissan Pathfinder ,https://www.carpages.ca/used-cars/alberta/calgary/2012-nissan-pathfinder-8773928/,NA,"$7,900",Regal Auctions Ltd.,"216,560KM","Calgary, AB"
2012 Audi Q5 2.0L Premium Plus,https://www.carpages.ca/used-cars/ontario/komoka/2012-audi-q5-8481288/,2.0L Premium Plus,"$7,900",Cars in Lobo,"263,915KM","Komoka, ON"
"2015 Chevrolet Equinox AWD, Camera, Bluetooth, 3/Y Warranty Available",https://www.carpages.ca/used-cars/ontario/toronto/2015-chevrolet-equinox-8414499/,"AWD, Camera, Bluetooth, 3/Y Warranty Available","$7,900",Auto Cross Inc.,"391,000KM","Toronto, ON"
2012 Dodge Journey R/T,https://www.carpages.ca/used-cars/alberta/calgary/2012-dodge-journey-8704877/,R/T,"$7,900",Regal Auctions Ltd.,"136,295KM","Calgary, AB"
2012 Nissan Rogue FWD 4dr,https://www.carpages.ca/used-cars/ontario/north-york/2012-nissan-rogue-7839924/,FWD 4dr,"$7,980",Auto Island Inc.,"234,536KM","North York, ON"
"2011 Kia Rondo EX, Local, No Accidents, Heated Seats, 23 Service Records!",https://www.carpages.ca/used-cars/british-columbia/surrey/2011-kia-rondo-8191164/,"EX, Local, No Accidents, Heated Seats, 23 Service Records!","$7,980",B.C. Dealers Trade-In Centre Ltd.,"197,009KM","Surrey, BC"
2010 Ford Edge SPORT | $0 DOWN - EVERYONE APROVED!!,https://www.carpages.ca/used-cars/alberta/calgary/2010-ford-edge-7791855/,SPORT | $0 DOWN - EVERYONE APROVED!!,"$7,988",GT Motor Sports Calgary,"219,451KM","Calgary, AB"
2008 GMC Acadia SLE  I AWD |$0 DOWN-EVERYONE APPROVED!!!,https://www.carpages.ca/used-cars/alberta/calgary/2008-gmc-acadia-8193537/,SLE  I AWD |$0 DOWN-EVERYONE APPROVED!!!,"$7,988",GT Motor Sports South,"193,292KM","Calgary, AB"
"2011 Ford Escape XLT, , CERTIFIED!!",https://www.carpages.ca/used-cars/ontario/mississauga/2011-ford-escape-8310774/,"XLT, , CERTIFIED!!","$7,990",HDO Cars Inc.,"159,000KM","Mississauga, ON"
2009 Hyundai Santa Fe 4Dr Auto V6,https://www.carpages.ca/used-cars/ontario/etobicoke/2009-hyundai-santa-fe-8704709/,4Dr Auto V6,"$7,990",High Cliff Motors Ltd.,"150,000KM","Etobicoke, ON"
2009 Buick Enclave AWD 4dr CXL,https://www.carpages.ca/used-cars/ontario/fenwick/2009-buick-enclave-8682932/,AWD 4dr CXL,"$7,990",Japanese Sport Car,"275,000KM","Fenwick, ON"
2013 Chevrolet Trax 1LT AWD,https://www.carpages.ca/used-cars/british-columbia/west-kelowna/2013-chevrolet-trax-7941552/,1LT AWD,"$7,990",KV Cars Inc.,"249,090KM","West Kelowna, BC"
2012 Hyundai Tucson FWD 4dr I4 Man L,https://www.carpages.ca/used-cars/ontario/etobicoke/2012-hyundai-tucson-8687960/,FWD 4dr I4 Man L,"$7,990",1st Auto Group,"104,359KM","Etobicoke, ON"
2008 Ford Escape LIMITED 4WD,https://www.carpages.ca/used-cars/british-columbia/west-kelowna/2008-ford-escape-7885341/,LIMITED 4WD,"$7,990",KV Cars Inc.,"214,403KM","West Kelowna, BC"
2008 BMW X5 3.0si,https://www.carpages.ca/used-cars/british-columbia/west-kelowna/2008-bmw-x5-8728355/,3.0si,"$7,990",KV Cars Inc.,"245,788KM","West Kelowna, BC"
2009 Dodge Journey R/T AWD,https://www.carpages.ca/used-cars/ontario/london/2009-dodge-journey-8654260/,R/T AWD,"$7,991",Downtown Motor Products,"157,000KM","London, ON"
2011 Kia Sorento LX,https://www.carpages.ca/used-cars/nova-scotia/bridgewater/2011-kia-sorento-8703362/,LX,"$7,991",Steele Auto Group,"270,167KM","Bridgewater, NS"
2013 Chevrolet Trax LT,https://www.carpages.ca/used-cars/nova-scotia/bridgewater/2013-chevrolet-trax-3041449/,LT,"$7,993",Steele Auto Group,"221,992KM","Bridgewater, NS"
2013 Dodge Journey SXT*ALLOYS*3.6L V6*AUTOMATIC*CERTIFIED,https://www.carpages.ca/used-cars/ontario/london/2013-dodge-journey-8591711/,SXT*ALLOYS*3.6L V6*AUTOMATIC*CERTIFIED,"$7,995",Tiger Auto Sales Ltd.,"202,309KM","London, ON"
2009 Cadillac SRX 3RD ROW SEATING,https://www.carpages.ca/used-cars/ontario/london/2009-cadillac-srx-8778410/,3RD ROW SEATING,"$7,995",Bart's Used Cars,"220,888KM","London, ON"
2013 Kia Sportage LX,https://www.carpages.ca/used-cars/newfoundland-and-labrador/grand-falls-windsor/2013-kia-sportage-8593448/,LX,"$7,995",Steele Auto Group,"135,592KM","Grand Falls-Windsor, NL"
2010 Honda CR-V LX (A5),https://www.carpages.ca/used-cars/ontario/gloucester/2010-honda-cr-v-8792681/,LX (A5),"$7,995",Bank Street Mitsubishi,"222,640KM","Gloucester, ON"
2013 Ford Edge SE/CLEAN CARFAX/SAFETY/WARRANTY/FINANCING,https://www.carpages.ca/used-cars/ontario/oakville/2013-ford-edge-8545919/,SE/CLEAN CARFAX/SAFETY/WARRANTY/FINANCING,"$7,995",Oakville Autos,"242,540KM","Oakville, ON"
2012 Kia Sorento Automatic/4 Cylinder/1 Yr Warranty/Comes Certified,https://www.carpages.ca/used-cars/ontario/scarborough/2012-kia-sorento-8720432/,Automatic/4 Cylinder/1 Yr Warranty/Comes Certified,"$7,995",D2 Auto Sales,"194,000KM","Scarborough, ON"
2010 BMW X3 28i,https://www.carpages.ca/used-cars/ontario/hamilton/2010-bmw-x3-8587211/,28i,"$7,995",Parkdale Auto Centre,"135,542KM","Hamilton, ON"
2009 Dodge Journey FWD 4DR SXT,https://www.carpages.ca/used-cars/manitoba/winnipeg/2009-dodge-journey-8608082/,FWD 4DR SXT,"$7,995",Northstar Motors Inc,"233,967KM","Winnipeg, MB"
2010 Dodge Journey SE 7 PSSNGR CERTIFIED *2ND SET WINTER**SERVICE RECORDS* BLUETOOTH AUX,https://www.carpages.ca/used-cars/ontario/milton/2010-dodge-journey-8459469/,SE 7 PSSNGR CERTIFIED *2ND SET WINTER**SERVICE RECORDS* BLUETOOTH AUX,"$7,995",Auto Moto of Ontario,"170,978KM","Milton, ON"
2013 GMC Acadia SLE,https://www.carpages.ca/used-cars/ontario/brampton/2013-gmc-acadia-8801987/,SLE,"$7,995",Empire Motorz,"281,000KM","Brampton, ON"
2010 Subaru Forester 2.5 X,https://www.carpages.ca/used-cars/british-columbia/courtenay/2010-subaru-forester-8809322/,2.5 X,"$7,998",Courtenay Kia,"225,525KM","Courtenay, BC"
"2008 Ford Escape XLT,SUNROOF,ALLOY WHEELS,FOG LIGHTS,CERTIFIED",https://www.carpages.ca/used-cars/ontario/mississauga/2008-ford-escape-8688815/,"XLT,SUNROOF,ALLOY WHEELS,FOG LIGHTS,CERTIFIED","$7,999",Ryder Motors Inc.,"156,694KM","Mississauga, ON"
"2009 Mazda Tribute ""clean NO ACCIDENTS"" certified + FREE 6M warranty",https://www.carpages.ca/used-cars/ontario/ajax/2009-mazda-tribute-8778851/,"""clean NO ACCIDENTS"" certified + FREE 6M warranty","$7,999",Kelly and Sons Auto,"144,560KM","Ajax, ON"
2014 Chevrolet Orlando LT,https://www.carpages.ca/used-cars/ontario/north-york/2014-chevrolet-orlando-8464641/,LT,"$7,999",Carview Motors,"171,400KM","North York, ON"
"2011 Ford Escape XLT,LEATHER,SUNROOF,HEATED SEATS,ALLOY,CERTIFIED",https://www.carpages.ca/used-cars/ontario/mississauga/2011-ford-escape-8756216/,"XLT,LEATHER,SUNROOF,HEATED SEATS,ALLOY,CERTIFIED","$7,999",Ryder Motors Inc.,"169,000KM","Mississauga, ON"
2013 Kia Sorento AWD 4dr V6 Auto LX w-3rd Row,https://www.carpages.ca/used-cars/ontario/north-york/2013-kia-sorento-8801996/,AWD 4dr V6 Auto LX w-3rd Row,"$7,999",Malibu Motors,"205,000KM","North York, ON"
2011 Kia Sorento ,https://www.carpages.ca/used-cars/quebec/laval/2011-kia-sorento-8467215/,NA,"$7,999",Autos BB,"165,000KM","Laval, QC"
2014 Dodge Journey SXT,https://www.carpages.ca/used-cars/ontario/toronto/2014-dodge-journey-8735675/,SXT,"$8,000",Connaught Auto,"176,206KM","Toronto, ON"
2008 Hummer H3 ,https://www.carpages.ca/used-cars/ontario/vaughan/2008-hummer-h3-8721695/,NA,"$8,000",Topbillin Auto Sales,"245,000KM","Vaughan, ON"
2011 Ford Escape XLT Automatic,https://www.carpages.ca/used-cars/ontario/waterloo/2011-ford-escape-8803028/,XLT Automatic,"$8,000",Parkway Ford Sales,"169,385KM","Waterloo, ON"
2011 Nissan Rogue AWD / SV / REAR CAM / SUNROOF / A/C/ ALLOYS / 4CYL,https://www.carpages.ca/used-cars/ontario/scarborough/2011-nissan-rogue-8811137/,AWD / SV / REAR CAM / SUNROOF / A/C/ ALLOYS / 4CYL,"$8,000",Executive Motors,"184,000KM","Scarborough, ON"
"2008 Dodge Nitro RARE *MANUAL*, WE APPROVE ALL CREDIT.",https://www.carpages.ca/used-cars/ontario/london/2008-dodge-nitro-7211201/,"RARE *MANUAL*, WE APPROVE ALL CREDIT.","$8,000",Redline Auto Sales,"211,000KM","London, ON"
"2011 Jeep Grand Cherokee Laredo SOLD AS TRADED, YOU CERTIFY, YOU SAVE!!",https://www.carpages.ca/used-cars/ontario/barrie/2011-jeep-grand-cherokee-8670881/,"Laredo SOLD AS TRADED, YOU CERTIFY, YOU SAVE!!","$8,250",Barrie Chrysler Dodge Jeep Ram Ltd.,"198,861KM","Barrie, ON"
2010 Jeep Patriot 2.4L/NO ACCIDENTS/FULLY LOADED/SAFETY INCLUDED,https://www.carpages.ca/used-cars/ontario/cambridge/2010-jeep-patriot-8811464/,2.4L/NO ACCIDENTS/FULLY LOADED/SAFETY INCLUDED,"$8,290",A&S Prestige Auto Sales,"145,000KM","Cambridge, ON"
2008 Nissan Rogue FWD 4dr,https://www.carpages.ca/used-cars/ontario/north-york/2008-nissan-rogue-8723654/,FWD 4dr,"$8,299",Mr. Memo Auto,"168,000KM","North York, ON"
2009 Nissan Rogue S,https://www.carpages.ca/used-cars/ontario/tilbury/2009-nissan-rogue-5844699/,S,"$8,299",Tilbury Auto Sales and RV Inc.,"198,581KM","Tilbury, ON"
2013 Hyundai Tucson SOLD AS IS *WE APPROVE ALL CREDIT*,https://www.carpages.ca/used-cars/ontario/mississauga/2013-hyundai-tucson-8586503/,SOLD AS IS *WE APPROVE ALL CREDIT*,"$8,300",Redline Auto Sales,"176,000KM","Mississauga, ON"
2008 Acura RDX AWD 4dr,https://www.carpages.ca/used-cars/ontario/waterloo/2008-acura-rdx-8779046/,AWD 4dr,"$8,425",Canada Cars,"232,116KM","Waterloo, ON"
2011 Infiniti EX35 **CERTIFIED**3 YEAR WARRANTY**,https://www.carpages.ca/used-cars/ontario/kitchener/2011-infiniti-ex35-8539433/,**CERTIFIED**3 YEAR WARRANTY**,"$8,450",Fahad Khan United Motorz Inc.,"264,092KM","Kitchener, ON"
"2015 Dodge Journey SXT, V6, 7-PASS, CRUISE, A/C",https://www.carpages.ca/used-cars/quebec/saint-hubert/2015-dodge-journey-8737268/,"SXT, V6, 7-PASS, CRUISE, A/C","$8,480",Auto Flash BFH,"235,000KM","Saint-Hubert, QC"
2014 Kia Sorento LX,https://www.carpages.ca/used-cars/prince-edward-island/charlottetown/2014-kia-sorento-8376561/,LX,"$8,488",Experience Hyundai,"174,963KM","Charlottetown, PE"
2011 Ford Edge AWD-NAVI-BK UP CAM-LEATHER-PANORAMA-CHROME ALLOYS,https://www.carpages.ca/used-cars/ontario/scarborough/2011-ford-edge-8788883/,AWD-NAVI-BK UP CAM-LEATHER-PANORAMA-CHROME ALLOYS,"$8,490",Super Economy Auto Sales,"289,000KM","Scarborough, ON"
2013 Ford Escape SE-AWD-4 CYL-BLUETOOTH-AUX-USB-ALLOYS-MUST SEE!!!,https://www.carpages.ca/used-cars/ontario/scarborough/2013-ford-escape-8440551/,SE-AWD-4 CYL-BLUETOOTH-AUX-USB-ALLOYS-MUST SEE!!!,"$8,490",Super Economy Auto Sales,"203,559KM","Scarborough, ON"
2011 Jeep Patriot 4WD 4dr North,https://www.carpages.ca/used-cars/ontario/oshawa/2011-jeep-patriot-8801402/,4WD 4dr North,"$8,490",Mint Auto Sales,"164,500KM","Oshawa, ON"
2012 Jeep Patriot 4WD North Edition Roof Rack,https://www.carpages.ca/used-cars/ontario/mississauga/2012-jeep-patriot-5902269/,4WD North Edition Roof Rack,"$8,490",Ontario Auto Group,"183,017KM","Mississauga, ON"
2015 Nissan Rogue SV,https://www.carpages.ca/used-cars/nova-scotia/halifax/2015-nissan-rogue-8273799/,SV,"$8,491",Steele Auto Group,"201,021KM","Halifax, NS"
2010 GMC Terrain SLE-2 FWD,https://www.carpages.ca/used-cars/ontario/trenton/2010-gmc-terrain-5808189/,SLE-2 FWD,"$8,495",Need a Car Trenton,"113,727KM","Trenton, ON"
